date,vix,rvol
1998-02-28,18.55,nan
1998-03-31,24.22,nan
1998-04-30,21.18,nan
1998-05-31,21.32,nan
1998-06-30,19.71,nan
1998-07-31,24.8,nan
1998-08-31,44.28,nan
1998-09-30,40.95,nan
1998-10-31,28.05,nan
1998-11-30,26.01,nan
1998-12-31,24.42,nan
1999-01-31,26.25,nan
1999-02-28,27.88,nan
1999-03-31,23.26,nan
1999-04-30,25.07,nan
1999-05-31,25.39,nan
1999-06-30,21.09,nan
1999-07-31,24.64,nan
1999-08-31,24.45,nan
1999-09-30,25.41,nan
1999-10-31,22.2,nan
1999-11-30,24.18,nan
1999-12-31,24.76,nan
2000-01-31,24.95,nan
2000-02-29,23.37,nan
2000-03-31,24.11,nan
2000-04-30,26.2,nan
2000-05-31,23.65,nan
2000-06-30,19.54,nan
2000-07-31,20.74,nan
2000-08-31,16.84,nan
2000-09-30,20.57,nan
2000-10-31,23.63,nan
2000-11-30,29.65,nan
2000-12-31,26.85,nan
2001-01-31,22.02,nan
2001-02-28,28.35,30.15
2001-03-31,28.64,30.06
2001-04-30,25.48,17.25
2001-05-31,22.64,13.55
2001-06-30,19.06,19.25
2001-07-31,21.62,14.99
2001-08-31,24.92,31.72
2001-09-30,31.93,18.71
2001-10-31,33.56,16.2
2001-11-30,23.84,15.18
2001-12-31,23.8,15.97
2002-01-31,21.09,20.81
2002-02-28,21.59,15.24
2002-03-31,17.4,15.86
2002-04-30,21.91,21.47
2002-05-31,19.98,22.92
2002-06-30,25.4,43.15
2002-07-31,32.03,33.67
2002-08-31,32.64,33.32
2002-09-30,39.69,36.63
2002-10-31,31.14,22.91
2002-11-30,27.5,18.01
2002-12-31,28.62,25.15
2003-01-31,31.17,18.57
2003-02-28,29.63,27.03
2003-03-31,29.15,19.3
2003-04-30,21.21,16.73
2003-05-31,19.47,15.34
2003-06-30,19.52,15.51
2003-07-31,19.49,10.88
2003-08-31,18.63,14.73
2003-09-30,22.72,12.55
2003-10-31,16.1,11.16
2003-11-30,16.32,10.4
2003-12-31,18.31,10.42
2004-01-31,16.63,8.84
2004-02-29,14.55,15.26
2004-03-31,16.74,12.3
2004-04-30,17.19,10.89
2004-05-31,15.5,9.4
2004-06-30,14.34,9.4
2004-07-31,15.32,12.98
2004-08-31,15.29,8.96
2004-09-30,13.34,11.99
2004-10-31,16.27,9.74
2004-11-30,13.24,8.64
2004-12-31,13.29,9.82
2005-01-31,12.82,10.22
2005-02-28,12.08,10.08
2005-03-31,14.02,14.37
2005-04-30,15.31,10.04
2005-05-31,13.29,7.43
2005-06-30,12.04,8.66
2005-07-31,11.57,8.35
2005-08-31,12.6,8.97
2005-09-30,11.92,14.3
2005-10-31,15.32,7.67
2005-11-30,12.06,7.06
2005-12-31,12.07,10.64
2006-01-31,12.95,9
2006-02-28,12.34,7.88
2006-03-31,11.39,8.62
2006-04-30,11.59,12.43
2006-05-31,16.44,15.46
2006-06-30,13.08,12.75
2006-07-31,14.95,7.17
2006-08-31,12.31,7.76
2006-09-30,11.98,6.82
2006-10-31,11.1,8.13
2006-11-30,10.91,6.57
2006-12-31,11.56,7.44
2007-01-31,10.42,14
2007-02-28,15.42,13.31
2007-03-31,14.64,8.13
2007-04-30,14.22,8.87
2007-05-31,13.05,13.46
2007-06-30,16.23,16.93
2007-07-31,23.52,23.61
2007-08-31,23.38,15.47
2007-09-30,18,13.21
2007-10-31,18.53,26.03
2007-11-30,22.87,17.9
2007-12-31,22.5,23.81
2008-01-31,26.2,19.31
2008-02-29,26.54,29.41
2008-03-31,25.61,18.44
2008-04-30,20.79,14.3
2008-05-31,17.83,20.32
2008-06-30,23.95,22.34
2008-07-31,22.94,19.39
2008-08-31,20.65,55.58
2008-09-30,39.39,83.26
2008-10-31,59.89,73.85
2008-11-30,55.84,48.59
2008-12-31,40,36.67
2009-01-31,44.84,37.71
2009-02-28,46.35,47.85
2009-03-31,44.14,29.75
2009-04-30,36.5,28.26
2009-05-31,28.92,19.11
2009-06-30,26.35,20.69
2009-07-31,25.92,16.23
2009-08-31,26.01,15.01
2009-09-30,25.61,18.58
2009-10-31,30.69,15.86
2009-11-30,24.51,9.94
2009-12-31,21.68,17.04
2010-01-31,24.62,17.2
2010-02-28,19.5,8.79
2010-03-31,17.59,14.65
2010-04-30,22.05,31.74
2010-05-31,32.07,25.79
2010-06-30,34.54,19.85
2010-07-31,23.5,18.11
2010-08-31,26.05,16.8
2010-09-30,23.7,11.23
2010-10-31,21.2,14.66
2010-11-30,23.54,9.79
2010-12-31,17.75,11.48
2011-01-31,19.53,12.6
2011-02-28,18.35,16.64
2011-03-31,17.74,8.75
2011-04-30,14.75,10.63
2011-05-31,15.45,16.38
2011-06-30,16.52,15.15
2011-07-31,25.25,48
2011-08-31,31.62,29
2011-09-30,42.96,29.91
2011-10-31,29.96,30.47
2011-11-30,27.8,18.04
2011-12-31,23.4,9.28
2012-01-31,19.44,9.03
2012-02-29,18.43,11.64
2012-03-31,15.5,14.13
2012-04-30,17.15,13.63
2012-05-31,24.06,20.51
2012-06-30,17.08,13.53
2012-07-31,18.93,8.67
2012-08-31,17.47,11.1
2012-09-30,15.73,10.73
2012-10-31,18.6,14.98
2012-11-30,15.87,14.22
2012-12-31,18.02,10.2
2013-01-31,14.28,12.13
2013-02-28,15.51,7.66
2013-03-31,12.7,13.55
2013-04-30,13.52,9.47
2013-05-31,16.3,16.78
2013-06-30,16.86,7.91
2013-07-31,13.45,10.6
2013-08-31,17.01,8.86
2013-09-30,16.6,12.82
2013-10-31,13.75,8.61
2013-11-30,13.7,9.63
2013-12-31,13.72,12.53
2014-01-31,18.41,13.47
2014-02-28,14,10.05
2014-03-31,13.88,12.8
2014-04-30,13.41,7.93
2014-05-31,11.4,5.87
2014-06-30,11.57,7.99
2014-07-31,16.95,8.14
2014-08-31,11.98,9.35
2014-09-30,16.31,18.22
2014-10-31,14.03,5.25
2014-11-30,13.33,14.88
2014-12-31,19.2,16.84
2015-01-31,20.97,10.04
2015-02-28,13.34,14
2015-03-31,15.29,8.37
2015-04-30,14.55,10.42
2015-05-31,13.84,11.48
2015-06-30,18.23,11.85
2015-07-31,12.12,26.78
2015-08-31,28.43,22.3
2015-09-30,24.5,13.86
2015-10-31,15.07,11.93
2015-11-30,16.13,18.14
2015-12-31,18.21,23.47
2016-01-31,20.2,19.76
2016-02-29,20.55,12.49
2016-03-31,13.95,9.9
2016-04-30,15.7,10.89
2016-05-31,14.19,18.04
2016-06-30,15.63,7.5
2016-07-31,11.87,5.49
2016-08-31,13.42,14.11
2016-09-30,13.29,6.53
2016-10-31,17.06,10.58
2016-11-30,13.33,7.65
2016-12-31,14.04,6.19
2017-01-31,11.99,7.18
2017-02-28,12.92,8.22
2017-03-31,12.37,6.97
2017-04-30,10.82,7.74
2017-05-31,10.41,7.1
2017-06-30,11.18,5.48
2017-07-31,10.26,9.11
2017-08-31,10.59,5.59
2017-09-30,9.51,5.17
2017-10-31,10.18,6.47
2017-11-30,11.28,5.64
2017-12-31,11.04,9.27
2018-01-31,13.54,26.24
2018-02-28,19.85,19.75
2018-03-31,19.97,17
2018-04-30,15.93,10.2
2018-05-31,15.43,8.45
2018-06-30,16.09,8.47
2018-07-31,12.83,7.46
2018-08-31,12.86,5.31
2018-09-30,12.12,22.52
2018-10-31,21.23,18.13
2018-11-30,18.07,29.55
2018-12-31,25.42,18.92
2019-01-31,16.57,8.5
2019-02-28,14.78,11.49
2019-03-31,13.71,6.6
2019-04-30,13.12,14.24
2019-05-31,18.71,11.51
2019-06-30,15.08,7.28
2019-07-31,16.12,22.76
2019-08-31,18.98,9.48
2019-09-30,16.24,13.36
2019-10-31,13.22,6.66
2019-11-30,12.62,8.47
2019-12-31,13.78,11.74
2020-01-31,18.84,30.49
2020-02-29,40.11,94.07
2020-03-31,53.54,40.46
2020-04-30,34.15,21.54
2020-05-31,27.51,29.09
2020-06-30,30.43,13.68
2020-07-31,24.46,9.32
2020-08-31,26.41,24.31
2020-09-30,26.37,20.61
2020-10-31,38.02,17.65
2020-11-30,20.57,8.8
2020-12-31,22.75,17.2
2021-01-31,33.09,15.88
2021-02-28,27.95,16.87
2021-03-31,19.4,10.71
2021-04-30,18.61,13.11
2021-05-31,16.76,8.58
2021-06-30,15.83,11.26
2021-07-31,18.24,8.46
2021-08-31,16.48,12.77
2021-09-30,23.14,11.35
2021-10-31,16.26,14.37
2021-11-30,27.19,17.23
2021-12-31,17.22,18.23
2022-01-31,24.83,22.32
2022-02-28,30.15,23.19
2022-03-31,20.56,25.19
2022-04-30,33.4,30.23
2022-05-31,26.19,29.75
2022-06-30,28.71,19.19
2022-07-31,21.33,19.37
2022-08-31,25.87,24.6
2022-09-30,31.62,27.12
2022-10-31,25.88,26.89
2022-11-30,20.58,18.02
2022-12-31,21.67,16.64
2023-01-31,19.4,14.72
2023-02-28,20.7,18.59
2023-03-31,18.7,11.73
2023-04-30,15.78,12.41
2023-05-31,17.94,10.87
2023-06-30,13.59,8.09
2023-07-31,13.63,12.65
2023-08-31,13.57,12.28
2023-09-30,17.52,14
2023-10-31,18.14,12.59
2023-11-30,12.92,9.88
2023-12-31,12.45,10.79
2024-01-31,14.35,12.26
2024-02-29,13.4,9.57
2024-03-31,13.01,11.47
2024-04-30,15.65,9.64
2024-05-31,12.92,7.08
2024-06-30,12.44,13.11
2024-07-31,16.36,18.46
2024-08-31,15,13.53
2024-09-30,16.73,9.04
2024-10-31,23.16,nan
2024-11-30,21.88,nan
