Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,"Open Int",Vol/OI,"ITM Prob",Type,"Last Trade"
"4,500.00","2,041.50","2,088.25",51.47%,0.9467,0.0001,-1.4230,3.4864,9.9277,54,103,0.52,92.66%,Call,03/20/26
"4,525.00","2,283.48","2,064.25",51.07%,0.9455,0.0001,-1.4353,3.5508,9.9664,0,1,0.00,92.51%,Call,09/22/25
"4,550.00",0.00,"2,040.00",50.60%,0.9444,0.0001,-1.4431,3.6050,10.0088,0,3,0.00,92.39%,Call,N/A
"4,575.00","2,236.62","2,015.20",49.98%,0.9438,0.0001,-1.4415,3.6366,10.0595,0,5,0.00,92.32%,Call,09/22/25
"4,600.00","2,353.40","1,991.45",49.64%,0.9423,0.0001,-1.4574,3.7132,10.0935,0,282,0.00,92.14%,Call,02/26/26
"4,625.00","2,354.83","1,967.15",49.16%,0.9412,0.0001,-1.4639,3.7671,10.1357,0,13,0.00,92.02%,Call,10/27/25
"4,650.00",0.00,"1,943.20",48.76%,0.9398,0.0001,-1.4761,3.8363,10.1722,0,0,0.00,91.85%,Call,N/A
"4,675.00","2,070.73","1,919.00",48.30%,0.9386,0.0001,-1.4839,3.8956,10.2123,0,6,0.00,91.71%,Call,11/21/25
"4,700.00","1,943.23","1,894.65",47.80%,0.9376,0.0001,-1.4891,3.9492,10.2545,0,"1,005",0.00,91.59%,Call,03/19/26
"4,725.00","2,078.69","1,870.60",47.37%,0.9362,0.0001,-1.4989,4.0161,10.2916,0,5,0.00,91.43%,Call,09/19/25
"4,750.00",0.00,"1,846.40",46.90%,0.9349,0.0001,-1.5062,4.0773,10.3306,0,30,0.00,91.29%,Call,N/A
"4,775.00",0.00,"1,822.10",46.41%,0.9337,0.0001,-1.5117,4.1351,10.3710,0,50,0.00,91.15%,Call,N/A
"4,800.00","1,825.44","1,798.20",46.02%,0.9322,0.0001,-1.5233,4.2100,10.4046,0,80,0.00,90.97%,Call,03/19/26
"4,825.00",0.00,"1,774.15",45.58%,0.9307,0.0001,-1.5323,4.2794,10.4402,0,31,0.00,90.80%,Call,N/A
"4,850.00",0.00,"1,750.00",45.12%,0.9293,0.0001,-1.5395,4.3455,10.4770,0,9,0.00,90.64%,Call,N/A
"4,875.00","1,958.23","1,725.95",44.68%,0.9278,0.0001,-1.5480,4.4163,10.5117,0,62,0.00,90.46%,Call,11/24/25
"4,900.00",0.00,"1,702.10",44.29%,0.9261,0.0001,-1.5593,4.4959,10.5428,0,67,0.00,90.26%,Call,N/A
"4,925.00","1,851.50","1,678.15",43.87%,0.9245,0.0001,-1.5688,4.5722,10.5751,0,24,0.00,90.07%,Call,03/17/26
"4,950.00","1,309.92","1,653.80",43.35%,0.9232,0.0001,-1.5721,4.6333,10.6134,0,57,0.00,89.92%,Call,06/23/25
"4,975.00","1,493.79","1,630.20",43.00%,0.9211,0.0001,-1.5862,4.7249,10.6391,0,38,0.00,89.69%,Call,07/07/25
"5,000.00","1,597.76","1,606.05",42.53%,0.9196,0.0001,-1.5920,4.7956,10.6732,"9,028","45,591",0.20,89.51%,Call,03/20/26
"5,025.00","1,911.76","1,582.50",42.18%,0.9175,0.0001,-1.6060,4.8905,10.6970,0,21,0.00,89.26%,Call,03/04/26
"5,050.00","1,963.88","1,558.65",41.77%,0.9156,0.0001,-1.6155,4.9744,10.7252,0,173,0.00,89.04%,Call,12/11/25
"5,075.00","1,813.48","1,534.95",41.38%,0.9135,0.0001,-1.6267,5.0649,10.7504,0,32,0.00,88.80%,Call,11/25/25
"5,100.00","1,347.94","1,511.00",40.94%,0.9116,0.0001,-1.6341,5.1466,10.7790,0,429,0.00,88.59%,Call,06/27/25
"5,125.00","1,159.85","1,487.10",40.50%,0.9097,0.0001,-1.6419,5.2311,10.8063,0,358,0.00,88.36%,Call,06/20/25
"5,150.00","1,642.73","1,463.70",40.16%,0.9073,0.0001,-1.6560,5.3350,10.8248,0,542,0.00,88.08%,Call,03/17/26
"5,175.00","1,247.20","1,440.30",39.81%,0.9048,0.0001,-1.6697,5.4396,10.8426,0,21,0.00,87.79%,Call,06/26/25
"5,200.00","1,586.01","1,416.60",39.40%,0.9025,0.0001,-1.6789,5.5338,10.8647,0,"1,196",0.00,87.54%,Call,03/12/26
"5,225.00","1,757.20","1,393.10",39.02%,0.9001,0.0001,-1.6904,5.6361,10.8828,0,29,0.00,87.25%,Call,12/22/25
"5,250.00","1,542.76","1,369.60",38.64%,0.8976,0.0001,-1.7013,5.7391,10.9002,0,683,0.00,86.96%,Call,03/09/26
"5,275.00","1,680.82","1,346.20",38.27%,0.8949,0.0001,-1.7131,5.8464,10.9153,0,193,0.00,86.66%,Call,11/26/25
"5,300.00","1,487.74","1,322.85",37.90%,0.8922,0.0002,-1.7249,5.9561,10.9287,0,"1,119",0.00,86.35%,Call,03/16/26
"5,325.00",0.00,"1,299.55",37.53%,0.8893,0.0002,-1.7368,6.0682,10.9405,0,31,0.00,86.02%,Call,N/A
"5,350.00","1,660.10","1,276.35",37.18%,0.8864,0.0002,-1.7493,6.1843,10.9499,0,69,0.00,85.68%,Call,12/30/25
"5,375.00",948.73,"1,253.35",36.85%,0.8832,0.0002,-1.7636,6.3075,10.9553,0,63,0.00,85.31%,Call,06/20/25
"5,400.00","1,489.54","1,230.05",36.46%,0.8802,0.0002,-1.7737,6.4215,10.9645,0,686,0.00,84.97%,Call,03/09/26
"5,425.00","1,592.45","1,207.05",36.12%,0.8768,0.0002,-1.7867,6.5458,10.9680,0,31,0.00,84.59%,Call,12/29/25
"5,450.00","1,523.62","1,184.05",35.77%,0.8735,0.0002,-1.7990,6.6706,10.9706,0,949,0.00,84.21%,Call,12/02/25
"5,475.00",0.00,"1,160.85",35.38%,0.8702,0.0002,-1.8084,6.7899,10.9752,0,"1,441",0.00,83.84%,Call,N/A
"5,500.00","1,147.00","1,138.30",35.08%,0.8663,0.0002,-1.8242,6.9293,10.9687,4,"2,552",0.00,83.40%,Call,03/20/26
"5,525.00","1,435.15","1,115.50",34.74%,0.8626,0.0002,-1.8365,7.0615,10.9649,0,343,0.00,82.98%,Call,12/19/25
"5,530.00",0.00,"1,111.15",34.70%,0.8616,0.0002,-1.8411,7.0941,10.9608,0,0,0.00,82.87%,Call,N/A
"5,540.00",0.00,"1,101.85",34.53%,0.8603,0.0002,-1.8438,7.1419,10.9617,0,0,0.00,82.71%,Call,N/A
"5,550.00","1,374.76","1,092.80",34.40%,0.8587,0.0002,-1.8490,7.1970,10.9585,0,"1,426",0.00,82.54%,Call,12/16/25
"5,560.00",0.00,"1,083.95",34.30%,0.8569,0.0002,-1.8562,7.2577,10.9521,0,0,0.00,82.33%,Call,N/A
"5,570.00",0.00,"1,074.95",34.17%,0.8553,0.0002,-1.8617,7.3142,10.9478,0,0,0.00,82.15%,Call,N/A
"5,575.00","1,516.80","1,070.35",34.09%,0.8545,0.0002,-1.8633,7.3397,10.9471,0,185,0.00,82.06%,Call,01/28/26
"5,580.00",0.00,"1,065.70",34.01%,0.8538,0.0002,-1.8644,7.3639,10.9471,0,0,0.00,81.98%,Call,N/A
"5,590.00",0.00,"1,056.70",33.88%,0.8521,0.0002,-1.8696,7.4205,10.9424,0,0,0.00,81.79%,Call,N/A
"5,600.00","1,131.19","1,047.80",33.76%,0.8503,0.0002,-1.8757,7.4798,10.9360,0,"1,519",0.00,81.59%,Call,03/18/26
"5,610.00",0.00,"1,039.00",33.65%,0.8485,0.0002,-1.8825,7.5417,10.9279,0,0,0.00,81.38%,Call,N/A
"5,620.00",0.00,"1,030.00",33.52%,0.8468,0.0002,-1.8873,7.5983,10.9226,0,0,0.00,81.19%,Call,N/A
"5,625.00","1,445.56","1,025.40",33.44%,0.8460,0.0002,-1.8886,7.6240,10.9214,0,56,0.00,81.10%,Call,02/09/26
"5,630.00",0.00,"1,020.90",33.37%,0.8451,0.0002,-1.8909,7.6524,10.9186,0,0,0.00,81.01%,Call,N/A
"5,640.00",0.00,"1,011.70",33.20%,0.8435,0.0002,-1.8933,7.7039,10.9159,0,0,0.00,80.83%,Call,N/A
"5,650.00","1,262.96","1,003.00",33.10%,0.8415,0.0002,-1.9006,7.7683,10.9055,0,"1,050",0.00,80.61%,Call,09/22/25
"5,660.00",0.00,994.30,33.00%,0.8395,0.0002,-1.9076,7.8326,10.8949,0,0,0.00,80.38%,Call,N/A
"5,670.00",0.00,985.35,32.87%,0.8377,0.0002,-1.9120,7.8905,10.8877,0,0,0.00,80.18%,Call,N/A
"5,675.00","1,264.43",980.55,32.76%,0.8370,0.0002,-1.9111,7.9115,10.8889,0,186,0.00,80.10%,Call,03/02/26
"5,680.00",0.00,976.15,32.70%,0.8361,0.0002,-1.9139,7.9424,10.8841,0,0,0.00,79.99%,Call,N/A
"5,690.00",0.00,967.25,32.57%,0.8342,0.0002,-1.9185,8.0016,10.8758,0,0,0.00,79.78%,Call,N/A
"5,700.00",921.73,958.45,32.45%,0.8322,0.0002,-1.9239,8.0633,10.8657,13,"4,902",0.00,79.56%,Call,03/20/26
"5,710.00",0.00,949.60,32.32%,0.8302,0.0002,-1.9286,8.1237,10.8562,0,0,0.00,79.34%,Call,N/A
"5,720.00",0.00,940.80,32.19%,0.8282,0.0002,-1.9337,8.1853,10.8457,0,0,0.00,79.12%,Call,N/A
"5,725.00","1,229.00",936.40,32.13%,0.8272,0.0002,-1.9361,8.2160,10.8404,0,24,0.00,79.00%,Call,02/19/26
"5,730.00",0.00,932.05,32.07%,0.8261,0.0002,-1.9390,8.2479,10.8342,0,0,0.00,78.88%,Call,N/A
"5,740.00",0.00,923.25,31.94%,0.8241,0.0003,-1.9436,8.3093,10.8233,0,0,0.00,78.66%,Call,N/A
"5,750.00","1,264.50",914.50,31.82%,0.8220,0.0003,-1.9485,8.3718,10.8113,0,"1,204",0.00,78.42%,Call,12/31/25
"5,760.00",0.00,905.95,31.72%,0.8197,0.0003,-1.9550,8.4385,10.7963,0,0,0.00,78.17%,Call,N/A
"5,770.00",0.00,897.05,31.58%,0.8177,0.0003,-1.9582,8.4976,10.7860,0,0,0.00,77.95%,Call,N/A
"5,775.00",901.13,892.70,31.51%,0.8166,0.0003,-1.9606,8.5292,10.7793,9,47,0.19,77.83%,Call,03/20/26
"5,780.00",0.00,888.35,31.45%,0.8155,0.0003,-1.9630,8.5609,10.7725,0,0,0.00,77.71%,Call,N/A
"5,790.00",0.00,879.75,31.34%,0.8133,0.0003,-1.9684,8.6262,10.7575,0,0,0.00,77.45%,Call,N/A
"5,800.00",839.55,871.25,31.24%,0.8109,0.0003,-1.9745,8.6933,10.7407,7,"4,849",0.00,77.19%,Call,03/20/26
"5,810.00",0.00,862.35,31.09%,0.8088,0.0003,-1.9770,8.7522,10.7293,0,0,0.00,76.96%,Call,N/A
"5,820.00",0.00,854.00,31.00%,0.8063,0.0003,-1.9839,8.8220,10.7100,0,0,0.00,76.68%,Call,N/A
"5,825.00","1,194.00",849.70,30.94%,0.8051,0.0003,-1.9862,8.8544,10.7019,0,67,0.00,76.55%,Call,12/31/25
"5,830.00",0.00,845.35,30.87%,0.8040,0.0003,-1.9881,8.8857,10.6945,0,0,0.00,76.43%,Call,N/A
"5,840.00",0.00,836.75,30.75%,0.8016,0.0003,-1.9924,8.9502,10.6781,0,0,0.00,76.17%,Call,N/A
"5,850.00",838.23,828.15,30.62%,0.7993,0.0003,-1.9965,9.0145,10.6614,1,"1,052",0.00,75.91%,Call,03/20/26
"5,860.00",0.00,819.45,30.49%,0.7969,0.0003,-1.9996,9.0769,10.6457,0,0,0.00,75.65%,Call,N/A
"5,870.00",0.00,811.35,30.41%,0.7942,0.0003,-2.0074,9.1501,10.6217,0,0,0.00,75.35%,Call,N/A
"5,875.00",961.45,806.65,30.31%,0.7932,0.0003,-2.0059,9.1748,10.6183,0,"1,285",0.00,75.24%,Call,03/17/26
"5,880.00",0.00,802.85,30.30%,0.7917,0.0003,-2.0117,9.2156,10.6028,0,0,0.00,75.07%,Call,N/A
"5,890.00",0.00,794.15,30.15%,0.7893,0.0003,-2.0141,9.2775,10.5862,0,0,0.00,74.81%,Call,N/A
"5,900.00",794.69,785.50,30.01%,0.7869,0.0003,-2.0167,9.3402,10.5686,8,"6,291",0.00,74.54%,Call,03/20/26
"5,910.00",0.00,777.25,29.92%,0.7841,0.0003,-2.0222,9.4094,10.5455,0,0,0.00,74.24%,Call,N/A
"5,920.00",0.00,768.70,29.78%,0.7816,0.0003,-2.0251,9.4734,10.5259,0,0,0.00,73.96%,Call,N/A
"5,925.00","1,103.80",764.70,29.75%,0.7801,0.0003,-2.0287,9.5098,10.5125,0,"1,314",0.00,73.80%,Call,12/31/25
"5,930.00",0.00,760.50,29.69%,0.7788,0.0003,-2.0305,9.5429,10.5015,0,0,0.00,73.66%,Call,N/A
"5,940.00",0.00,752.05,29.56%,0.7761,0.0003,-2.0337,9.6080,10.4800,0,0,0.00,73.37%,Call,N/A
"5,950.00",877.98,743.90,29.47%,0.7733,0.0003,-2.0390,9.6775,10.4544,0,"1,776",0.00,73.05%,Call,03/16/26
"5,960.00",0.00,735.30,29.32%,0.7707,0.0003,-2.0405,9.7398,10.4341,0,0,0.00,72.77%,Call,N/A
"5,970.00",0.00,727.00,29.20%,0.7679,0.0003,-2.0441,9.8064,10.4097,0,0,0.00,72.46%,Call,N/A
"5,975.00","1,060.80",723.00,29.16%,0.7663,0.0003,-2.0468,9.8417,10.3955,0,"2,232",0.00,72.30%,Call,12/31/25
"5,980.00",0.00,718.85,29.10%,0.7649,0.0003,-2.0484,9.8748,10.3831,0,0,0.00,72.15%,Call,N/A
"5,990.00",0.00,710.45,28.97%,0.7621,0.0003,-2.0507,9.9393,10.3592,0,0,0.00,71.84%,Call,N/A
"6,000.00",686.51,702.35,28.87%,0.7591,0.0003,-2.0549,10.0076,10.3313,"12,880","259,662",0.05,71.51%,Call,03/20/26
"6,010.00",0.00,694.25,28.76%,0.7561,0.0003,-2.0588,10.0755,10.3031,0,0,0.00,71.19%,Call,N/A
"6,020.00",969.77,686.15,28.66%,0.7531,0.0003,-2.0624,10.1430,10.2745,0,2,0.00,70.86%,Call,01/20/26
"6,025.00",979.96,681.95,28.59%,0.7516,0.0003,-2.0630,10.1746,10.2618,0,"1,973",0.00,70.70%,Call,01/02/26
"6,030.00",963.71,677.85,28.53%,0.7501,0.0003,-2.0642,10.2074,10.2479,0,1,0.00,70.54%,Call,01/21/26
"6,040.00",0.00,669.75,28.42%,0.7470,0.0004,-2.0672,10.2740,10.2185,0,0,0.00,70.20%,Call,N/A
"6,050.00",907.28,661.80,28.32%,0.7438,0.0004,-2.0709,10.3419,10.1871,0,"1,459",0.00,69.86%,Call,03/04/26
"6,060.00",0.00,653.55,28.18%,0.7407,0.0004,-2.0722,10.4058,10.1587,0,0,0.00,69.53%,Call,N/A
"6,070.00",0.00,645.30,28.05%,0.7377,0.0004,-2.0733,10.4693,10.1299,0,0,0.00,69.19%,Call,N/A
"6,075.00",646.04,641.55,28.02%,0.7359,0.0004,-2.0762,10.5051,10.1111,3,646,0.00,69.00%,Call,03/20/26
"6,080.00",0.00,637.70,27.98%,0.7342,0.0004,-2.0785,10.5396,10.0934,0,0,0.00,68.82%,Call,N/A
"6,090.00",0.00,629.70,27.86%,0.7309,0.0004,-2.0805,10.6048,10.0610,0,0,0.00,68.47%,Call,N/A
"6,100.00",626.17,621.75,27.75%,0.7276,0.0004,-2.0826,10.6701,10.0276,6,"5,561",0.00,68.11%,Call,03/20/26
"6,110.00",869.85,613.80,27.64%,0.7242,0.0004,-2.0844,10.7347,9.9939,0,0,0.00,67.75%,Call,01/20/26
"6,120.00",0.00,605.65,27.50%,0.7210,0.0004,-2.0845,10.7969,9.9617,0,0,0.00,67.40%,Call,N/A
"6,125.00",992.79,601.85,27.46%,0.7192,0.0004,-2.0862,10.8304,9.9426,0,924,0.00,67.21%,Call,01/13/26
"6,130.00",912.70,598.00,27.41%,0.7174,0.0004,-2.0876,10.8633,9.9239,0,3,0.00,67.02%,Call,01/20/26
"6,140.00",671.30,589.70,27.26%,0.7141,0.0004,-2.0860,10.9231,9.8924,0,14,0.00,66.67%,Call,03/13/26
"6,150.00",609.27,582.10,27.16%,0.7105,0.0004,-2.0887,10.9885,9.8532,0,"2,225",0.00,66.28%,Call,03/19/26
"6,160.00",672.90,574.50,27.07%,0.7068,0.0004,-2.0910,11.0532,9.8136,0,9,0.00,65.89%,Call,03/13/26
"6,170.00",664.70,566.35,26.92%,0.7034,0.0004,-2.0894,11.1127,9.7790,0,8,0.00,65.52%,Call,03/13/26
"6,175.00",661.60,562.75,26.89%,0.7015,0.0004,-2.0915,11.1459,9.7569,0,"1,401",0.00,65.31%,Call,03/13/26
"6,180.00",772.92,558.85,26.83%,0.6996,0.0004,-2.0916,11.1766,9.7376,0,1,0.00,65.12%,Call,03/10/26
"6,185.00",0.00,554.60,26.74%,0.6980,0.0004,-2.0894,11.2046,9.7215,0,0,0.00,64.94%,Call,N/A
"6,190.00",859.36,551.10,26.71%,0.6960,0.0004,-2.0918,11.2379,9.6981,0,2,0.00,64.73%,Call,02/03/26
"6,195.00",0.00,547.15,26.65%,0.6941,0.0004,-2.0913,11.2677,9.6788,0,0,0.00,64.54%,Call,N/A
"6,200.00",546.36,543.40,26.60%,0.6922,0.0004,-2.0920,11.2988,9.6576,4,"6,533",0.00,64.33%,Call,03/20/26
"6,205.00",0.00,539.60,26.54%,0.6903,0.0004,-2.0922,11.3293,9.6367,0,0,0.00,64.13%,Call,N/A
"6,210.00",585.40,535.80,26.49%,0.6884,0.0004,-2.0924,11.3596,9.6157,0,30,0.00,63.93%,Call,03/19/26
"6,215.00",0.00,531.95,26.43%,0.6865,0.0004,-2.0921,11.3893,9.5950,0,0,0.00,63.73%,Call,N/A
"6,220.00",724.30,528.15,26.37%,0.6846,0.0004,-2.0921,11.4192,9.5738,0,6,0.00,63.52%,Call,03/06/26
"6,225.00",790.60,524.35,26.32%,0.6827,0.0004,-2.0919,11.4488,9.5524,0,"1,504",0.00,63.32%,Call,03/04/26
"6,230.00",640.30,520.55,26.26%,0.6807,0.0004,-2.0917,11.4783,9.5309,0,25,0.00,63.11%,Call,03/16/26
"6,235.00",0.00,516.80,26.21%,0.6788,0.0004,-2.0916,11.5078,9.5088,0,0,0.00,62.91%,Call,N/A
"6,240.00",611.70,513.00,26.15%,0.6768,0.0004,-2.0912,11.5368,9.4870,0,4,0.00,62.70%,Call,03/13/26
"6,245.00",0.00,509.30,26.10%,0.6748,0.0004,-2.0912,11.5662,9.4643,0,0,0.00,62.49%,Call,N/A
"6,250.00",486.39,505.35,26.02%,0.6729,0.0004,-2.0897,11.5939,9.4435,1,"2,286",0.00,62.29%,Call,03/20/26
"6,255.00",0.00,501.70,25.97%,0.6708,0.0004,-2.0898,11.6231,9.4200,0,0,0.00,62.07%,Call,N/A
"6,260.00",700.50,498.00,25.92%,0.6688,0.0004,-2.0896,11.6517,9.3969,0,5,0.00,61.86%,Call,03/05/26
"6,265.00",0.00,494.00,25.84%,0.6669,0.0004,-2.0874,11.6786,9.3760,0,0,0.00,61.65%,Call,N/A
"6,270.00",588.40,490.50,25.81%,0.6648,0.0004,-2.0881,11.7077,9.3510,0,15,0.00,61.43%,Call,03/13/26
"6,275.00",460.20,486.80,25.75%,0.6627,0.0004,-2.0875,11.7356,9.3274,21,"1,363",0.02,61.21%,Call,03/20/26
