;RGBI Index
31.08.2011;-1.1
30.09.2011;-2.22
31.10.2011;0.68
30.11.2011;-0.6
31.12.2011;0.3
31.01.2012;1.16
29.02.2012;0.98
31.03.2012;0.1
30.04.2012;-0.33
31.05.2012;-2.56
30.06.2012;0.46
31.07.2012;2.02
31.08.2012;0.45
30.09.2012;0.3
31.10.2012;1.49
30.11.2012;1.91
31.12.2012;0.81
31.01.2013;0.85
28.02.2013;-0.33
31.03.2013;-0.79
30.04.2013;2.66
31.05.2013;-3.67
30.06.2013;-1.97
31.07.2013;0.77
31.08.2013;-1.12
30.09.2013;1.4
31.10.2013;0.77
30.11.2013;-2.7
31.12.2013;0.79
31.01.2014;-2.31
28.02.2014;-0.25
31.03.2014;-2.34
30.04.2014;-1.96
31.05.2014;2.44
30.06.2014;0.88
31.07.2014;-3.7
31.08.2014;-1.03
30.09.2014;1.59
31.10.2014;-2.57
30.11.2014;-2.03
31.12.2014;-11.28
31.01.2015;-0.47
28.02.2015;2.77
31.03.2015;4.72
30.04.2015;5.45
31.05.2015;0.6
30.06.2015;-1.05
31.07.2015;1.41
31.08.2015;-2.9
30.09.2015;1.89
31.10.2015;4.52
30.11.2015;1.06
31.12.2015;0.46
31.01.2016;-1.45
29.02.2016;2.07
31.03.2016;2.01
30.04.2016;0.76
31.05.2016;0.15
30.06.2016;1.67
31.07.2016;-0.2
31.08.2016;1.06
30.09.2016;0.49
31.10.2016;-1.33
30.11.2016;-0.78
31.12.2016;2.26
31.01.2017;0.72
28.02.2017;-0.72
31.03.2017;1.53
30.04.2017;1.15
31.05.2017;-0.25
30.06.2017;-0.13
31.07.2017;-0.16
31.08.2017;0.74
30.09.2017;0.75
31.10.2017;0.36
30.11.2017;0.16
31.12.2017;0.79
31.01.2018;1.16
28.02.2018;1.11
31.03.2018;0.18
30.04.2018;-1.27
31.05.2018;-0.41
30.06.2018;-1.8
31.07.2018;-0.19
31.08.2018;-4.06
30.09.2018;0.78
31.10.2018;-0.58
30.11.2018;-0.26
31.12.2018;0.27
31.01.2019;2.11
28.02.2019;-0.69
31.03.2019;0.42
30.04.2019;0.61
31.05.2019;1.18
30.06.2019;2.11
31.07.2019;0.73
31.08.2019;0.89
30.09.2019;0.44
31.10.2019;2.94
30.11.2019;0.09
31.12.2019;0.68
31.01.2020;0.56
29.02.2020;-1.39
31.03.2020;-1.61
30.04.2020;3.94
31.05.2020;2.75
30.06.2020;-1.17
31.07.2020;-0.1
31.08.2020;-0.73
30.09.2020;-0.93
31.10.2020;0.24
30.11.2020;0.88
31.12.2020;-0.59
